Product Id (Don't Modify),Product Name,Added on (D-dd/mm/YY HH:MM:SS),Barcode (applicable only if variable combinations not used),Product Id,Model,Short Description,Product Keywords (will be used while searching for products in website),Is Hidden? (Y/N),Cost Price,Web Price,Weight,Reorder Quantity,Extra Shipping Cost,Bonus Points,"Discount Type ('%' for %,'Value' for Discount Value,'Exact' for Exact Discount Price)",Discount (value in this field depends on the Discount Type),Apply Tax? (Y/N),Variable Stock Allowed? (Y/N) (Dont't Modify),Fixed Web Stock (applicable only if Variable Stock Allowed is 'N'),Preorder Allowed? (Y/N),Maximum number of times preorder will be allowed? (applicable only if Preorder is Y),In Stock Date (applicable only if preorder is Y)  (D-dd/mm/YY),Product Deposit %,Product deposit message (will be considered only if Product deposit is >0),Activate Buy link (Y/N),Activate Enquire link (Y/N),Heading to be shown for size chart (applicable only if size chart is managed),Show Variable in new row in product details page? (Y / N),Allow Stock Notification?,Hide Product when out of stock?,Allow ordering even if out of stock (Y/N)?,Allow free Delivery? (Y/N),Caption to be displayed for Qty,"Qty type (Normal,Dropdown)","Value to be displayed in dropdown box. Seperate using comma (,) (applicable only if qty type is Dropdown",Prefix to be used for Qty (applicable only if Qty type is Drop down box),Suffix to be used for Qty (applicable only if Qty type is Drop down box),Prefix for Normal price,Suffix for Normal price,Prefix for From price,Suffix for From price,Prefix for Special offer price,Suffix for Special offer price,Prefix for Discount,Suffix for Discount,Prefix for You Save Price,Suffix for You Save Price,Caption for No Price,Show Price Promise button in details page? (Y/N),Show Sale Icon (Y/N),Caption for sale icon (applicable only if Sale icon is Y),Show New Icon (Y/N),Caption for new icon (applicable only if New icon is Y),Variable Combination Image Allowed (Don't Modify),Unique Ids of Images from Image gallery. Seperate Id's using '=>' (applicable only if Variable Combination Image is 'N'. Already assigned Images which are not specified in this column will be unassigned automatically before saving the current id's,Variable Combination Price Allowed (Don't Modify),Allow Bulk Discount (Y/N),"Format (Qty1=>Price1,Qty2=>Price2) (applicable only if Variable combination price allowed is 'N')"
P-496585,Plain White Paper Cups,D-24/02/2011 13:46:18,5060181190691,,,Plain White Paper Cups,"white hot cup
white cups
paper cups
white paper cups
white disposable cups
disposable cups white
Plain White Paper Cups
hot cups white
4oz cup
8oz cup
12oz cup
16oz cup",N,0.00,16.99,0.00,0,0.00,17,%,5.00,Y,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,273658,Y,Y,
P-448876,Plastic Coffee Stirrers,D-06/04/2009 08:06:02,5060181190691,1000's,,Plastic Coffee Stirrers,"Plastic Coffee Stirrers
stirrers
plastic stirrers
coffee stirrers",N,0.00,4.99,0.00,0,0.00,5,%,0.00,Y,N,499697,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,212948,N,Y,"3=>4.90,5=>4.75,10=>4.50,20=>3.99"
P-489759,Plastic Tea Spoons,D-01/12/2009 10:04:46,5060181190691,,,Plastic Tea Spoons,"plastic spoons
plastic tea spoons
tea spoons
spoons",N,0.00,7.99,0.00,0,0.00,8,%,0.00,Y,N,4997,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,258671,N,Y,"3=>7.75,5=>7.50,10=>6.99"
P-421740,Plastic Water Cups,D-06/04/2009 08:05:59,5060181190706,Water,,Plastic Water Cups,"Water Cups
Plastic Cups
7oz cup
7oz
cups
plastic water cups
clear water cups
7oz Plastic Water Cups",N,0.00,14.99,0.00,0,0.00,15,Exact,0.00,Y,N,2147480213,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,186669,N,Y,"3=>14.85,5=>14.75,10=>13.99,20=>13.75,25=>13.50,50=>12.99,100=>10.00"
P-64063,Poldermill Hot Chocolate Sachets,D-06/04/2009 08:05:37,,,,Poldermill Hot Chocolate Sachets,"Poldermill Hot Chocolate Sachets
hot chocolate
chocolate drink
hot chocolate sachets
chocolate sachets",N,0.00,16.99,0.00,0,0.00,17,%,0.00,N,N,4982,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,N,N,,N,,N,321331,N,Y,"3=>16.75,5=>16.49,10=>15.99"
P-70416,Puly Caff Cleaning Tablets,D-06/04/2009 08:05:42,5060181190701,Puly Caff,,Puly Caff Cleaning Tablets,"Puly Caff Cleaning Tablets
cleaning 
cleaning tablets
coffee machine cleaning",N,0.00,18.95,0.00,0,0.00,19,%,0.00,Y,N,2147483210,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,58363,N,Y,"3=>17.95,5=>16.95,10=>15.00"
P-457262,Puly Grind - Grinder Cleaning Sachets,D-06/04/2009 08:06:07,5060181190702,Puly Grind,,Puly Grind - Grinder Cleaning Sachets,"Puly Grind - Grinder Cleaning Sachets
Cleaning Sachets
grinder cleaning sachets
puly grinder cleaner",N,0.00,1.00,0.00,0,0.00,1,%,0.00,Y,N,2147483129,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,221396,N,Y,"3=>0.95,5=>0.90,10=>0.85,20=>0.80"
P-75563,Pump Action Airpots (Elia),D-06/04/2009 08:05:42,5060181190705,Elia,,Pump Action Airpots (Elia),"Airpot
Thermal Jug
Coffee flask
Flask
Pump Action Airpots (Elia)
Decanter
Bravilor
Elis Airpot
Air Pot",N,0.00,25.24,0.00,0,0.00,25,%,0.00,Y,N,2147483545,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,317906,N,Y,"3=>26.99,5=>25.00"
P-536947,Pumpkin Spice Latte Pack,D-07/10/2014 18:09:51,,,,All You Need To Make Pumpkin Spice Latte,"Pumpkin Spice Latte Pack
Seasonal drinks
winter drinks
winter packages",Y,0.00,16.99,0.00,0,0.00,17,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,Autumn/Winter Essestials,N,321324,N,N,
P-537336,Puro Dairy Cleaning Liquid,D-17/11/2014 12:51:56,,,,Puro Dairy Cleaning Liquid,"Puro Dairy Cleaning Liquid
puro cleaning liquid 
milk cleaner 
milk frother cleaner
steam wand cleaner
steaming wand cleaner
milk steamer frother",Y,0.00,0.00,0.00,0,0.00,0,%,0.00,N,N,5000,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,,N,N,
P-537335,Puro Espresso Machine Cleaning Powder,D-17/11/2014 12:47:09,,,,Puro Espresso Machine Cleaning Powder,"Puro Espresso Machine Cleaning Powder
Puro Powder
espresso machine powder
cleaning powder
coffee machine cleaning powder 
espresso cleaning powder
espresso machine cleaning powder",Y,0.00,0.00,0.00,0,0.00,0,%,0.00,N,N,5000,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,,N,N,
P-535821,Q Series Blender Summer Deal,D-30/06/2014 15:26:28,,Blendtec,Q Series Blender Summer Deal,Q Series Blender Summer Deal,"Blendtec blender
blendtec
blender
Q Series Blender 
Blendtec q Series Blender",N,0.00,874.99,0.00,0,0.00,875,%,0.00,Y,N,152,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,235824,N,N,
P-489962,Renegite Cleaning Sachet,D-15/02/2010 21:17:03,5060181190695,,,Renegite Cleaning Sachet,"renegite
coffee filter machine cleaner
filter coffee machine cleaning
bravilor
Bravilor Coffee Machine Cleaner (25g)
Renegite Cleaning Sachet
bravilor cleaner
coffee machine cleaner
renegite cleaner",N,0.00,1.00,0.00,0,0.00,1,%,0.00,Y,N,499564,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,259311,N,Y,"5=>0.95,15=>0.90,30=>0.80"
P-448926,Renegite Descaler Sachets,D-06/04/2009 08:05:56,5060181190696,Bravilor,,Renegite Descaler Sachets,"Descale powder
Descale
Coffee Cleaning
Bravilor Renegite Descaler Sachets (50g)
Renegite Descakler Sachets",N,0.00,1.00,0.00,0,0.00,1,%,0.00,Y,N,2147481363,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,213137,N,Y,"5=>0.95,15=>0.90,30=>0.80"
P-537247,ROK Espresso Coffee Maker,D-07/11/2014 15:49:45,,,,ROK Espresso Coffee Maker,"ROK Espresso Coffee Maker
rok coffee maker
manual coffee maker
manual espresso maker
rok coffee machine
ROK
manual espresso coffee maker",N,0.00,129.00,0.00,0,0.00,135,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,New To Garraways,N,321801=>321799=>321800=>321802,N,N,
P-94047,Rough Cut Sugar Cubes,D-06/04/2009 08:05:43,5060181190698,,,Rough Cut Sugar Cubes,"Rough Cut Sugar Cubes
sugar cubes
sugar
cubes of sugar",N,0.00,3.99,0.00,0,0.00,4,%,0.00,N,N,2147481800,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,55818=>55819,N,Y,"8=>3.75,16=>3.50,32=>3.25,60=>2.99"
P-489748,Rubber Anti Scorch Steam Wand Sleeve,D-27/11/2009 16:52:45,5060181190699,,,Rubber Anti Scorch Steam Wand Sleeve,"rubber steam sleeves
steam sleeves
anti scorch rubber sleeves
Rubber Anti Scorch Steam Wand Sleeve
wand sleeve
steam wand sleeve",N,0.00,0.99,0.00,0,0.00,1,%,0.00,Y,N,499820,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,258643,N,Y,4=>0.90
P-449473,Rubber Cleaning Blank Disc,D-06/04/2009 08:05:49,5060181190691,Garraways,,Rubber Cleaning Blank Disc,"Rubber Cleaning Blank Disc
rubber disk
backflush disc
disc
cleaning disc
cleaning backflush disk
cleaning rubber backflush disk",N,0.00,0.99,0.00,0,0.00,5,%,0.00,Y,N,2147483339,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,214707,N,Y,5=>0.90
P-396255,Shmoo Banana Milkshake Mix,D-06/04/2009 08:05:54,5060181190691,Dinkum,,Shmoo Banana Milkshake Mix,"Shmoo Banana Milkshake Mix
Dinkum
Dinkum Shmoo milkshakes
Dinkum Shmoo
milkshakes
Banana milkshake
Milkshake mix",N,0.00,35.90,0.00,0,0.00,36,Exact,32.99,N,N,2147483310,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,264665,N,Y,"3=>32.49,5=>31.00,10=>29.99"
P-396256,Shmoo Chocolate MilkShake Mix,D-06/04/2009 08:05:54,5060181190706,Dinkum,,Shmoo Chocolate MilkShake Mix,"Shmoo chocolate Milkshake Mix
Dinkum
Dinkum Shmoo milkshakes
Dinkum Shmoo
milkshakes
chocolate milkshake
Milkshake mix",N,0.00,35.90,0.00,0,0.00,36,Exact,32.99,N,N,2147483036,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,264665,N,Y,"3=>32.49,5=>31.00,10=>29.99"
P-537109,Shmoo Milkshake Machine,D-23/10/2014 19:47:13,,,,So many advantages from such a small machine,"Shmoo Milkshake Machine
Milkshake machine
machine
milk shake
Shmoo
Dinkum shmoo milkshake machine",N,0.00,320.00,0.00,0,0.00,320,%,0.00,Y,N,5000,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,New Commercial Quality Milkshake Machine,N,321541,N,N,
P-396380,Shmoo Milkshake Mixed Case,D-06/04/2009 08:05:51,5060181190601,Dinkum,MIXEDDINK,Shmoo Milkshake Mixed Case,"DINKUM
SHMOO
MILKSHAKE MIXES
MILK SHAKE MIX
Shmoo Milk Shake Mixed Case
MILKSHAKES
DINKUM SHAKES
STRAWBERRY SHAKE
MANGO
BANANA SHAKE
VANILLA SHAKE
CHOCOLATE SHAKE",N,0.00,143.60,0.00,0,0.00,144,Exact,124.00,N,N,2147483491,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,264665,Y,N,
P-537110,Shmoo Starter Pack & Machine Bundle,D-23/10/2014 20:46:41,,,,Everything You Need!,,Y,0.00,0.00,0.00,0,0.00,0,%,0.00,N,N,999999999,N,0,D-00/00/0000,0.00,,Y,Y,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,,N,N,
P-537108,Shmoo Starter Pack (no machine),D-23/10/2014 18:51:22,,,,Guilt Free Pleasure!,"Shmoo Starter Pack (no machine)
 
Everything you need except for the milk!
 
Includes:

3 x 1.8kg tubs of Shmoo Ingredients, Strawberry,Chocolate and Banana giving approx. 300 servings.

300 clear branded Shmoo cups, lids and straws. You choose th",N,0.00,130.00,0.00,0,0.00,0,%,0.00,N,N,9999998,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,Shmoo is the Number 1 milkshake package in the UK,N,264665,N,N,
P-488375,Shmoo Strawberry Milk Shake Mix,D-08/05/2009 06:50:05,5060181190701,,,Shmoo Strawberry Milk Shake Mix,"Shmoo strawberry Milkshake Mix
Dinkum
Dinkum Shmoo milkshakes
Dinkum Shmoo
milkshakes
strawberry milkshake
Milkshake mix",N,0.00,35.90,0.00,0,0.00,36,Exact,32.99,N,N,499772,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,264665,N,N,
P-396257,Shmoo Vanilla MilkShake Mix,D-06/04/2009 08:05:53,5060181190702,Dinkum,,Shmoo Vanilla MilkShake Mix,"Shmoo vanilla Milkshake Mix
Dinkum
Dinkum Shmoo milkshakes
Dinkum Shmoo
milkshakes
vanilla milkshake
Milkshake mix",N,0.00,35.90,0.00,0,0.00,33,Exact,32.99,N,N,2147483441,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,264665,N,Y,"3=>32.49,5=>31.00,10=>29.99"
P-536502,Short Dated - Caffe Prima Date Stem Ginger Cookies,D-11/08/2014 10:28:57,,,Caffe Prima,Short Dated - Caffe Prima Date Stem Ginger Cookies,"Date & Ginger
Caffe Prima
Cookie
short Dated
Discount
Clearance",Y,0.00,3.49,0.00,0,0.00,3,Exact,1.49,N,N,47,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,276793,N,N,
P-536500,Short Dated Stock -  Caffe Prima ESE Coffee Pods - Dark Arabica,D-11/08/2014 09:48:00,,,,Caffe Prima ESE Coffee Pods - Dark Arabica,"Short Dated
ESE PODS 
DARK ARABICA",Y,0.00,24.99,0.00,0,0.00,20,Exact,12.99,N,N,59,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,258582,N,N,
P-536499,Short Dated Stock - Fairtrade Colombian Instant Coffee Sachets,D-11/08/2014 09:39:07,,,,Short Dated Stock - Fairtrade Colombian Instant Coffee Sachets,"Columbian 
Fairtrade
Freeze Dried 
Instant Coffee
Fairtrade Colombian Instant Coffee Sachets - Short Dated Stock",Y,0.00,42.49,0.00,0,0.00,42,Exact,15.00,N,N,43,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,215370,N,N,
P-536501,Short Dated Stock - Kenco 2GO - Bovril,D-11/08/2014 10:23:26,,,,Kenco 2GO Bovril - perfect to keep you going on colder days.,"Short Dated
Discount
Clearance
Bovrol
In-cup
Fresheal",Y,0.00,49.15,0.00,0,0.00,49,Exact,29.99,N,N,13,N,0,D-00/00/0000,0.00,,Y,Y,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,302207,N,N,
P-536497,Short Dated Stock - Twinings Pure Assam -,D-11/08/2014 08:14:24,,,Twinings,Twinings Speciality Tea Bags - Pure Assam Blend - New Smaller Pack Size,"Short Dated
Assam
Twinings",Y,0.00,1.99,0.00,0,0.00,2,Exact,1.29,N,N,34,N,0,D-00/00/0000,0.00,,Y,Y,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,191562,N,N,
P-537156,Simply Apple & Cinnamon Sauce,D-30/10/2014 12:58:51,,,,Simply Apple & Cinnamon Sauce,"Simply Apple & Cinnamon Sauce
Simply sauces
Apple & Cinnamon Sauce
toppings sauces
fruit flavoured sauces 
sauces",N,0.00,7.39,0.00,0,0.00,7,%,0.00,N,N,4999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,New To Garraways,N,321835,N,N,
P-490077,Simply Blackberry & Blueberry Smoothie Mix,D-15/03/2010 16:56:24,5060181190692,,,Simply Blackberry & Blueberry Smoothie Mix,"SMOOTHIE MIX
BLUEBERRY MIX
BLACKBERRY & BLUEBERRY
BLACKBERRY & BLUEBERRY SMOOTHIE
BLACKBERRY SMOOTHIE
BLUEBERRY SMOOTHIE
Simply Blackberry & Blueberry Smoothie Mix",N,0.00,54.00,0.00,0,0.00,54,Exact,0.00,Y,N,499976,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,321353,N,Y,"3=>52.50,5=>49.50,10=>45.00"
P-537154,Simply Blackcurrant Sauce,D-30/10/2014 12:52:38,,,,Simply Blackcurrant Sauce,"Simply Blackcurrant Sauce
Blackcurrant Sauce
sauce toppings
toppings
sauces
simply sauces 
fruit flavoured sauces",N,0.00,7.39,0.00,0,0.00,7,%,0.00,N,N,5000,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,New To Garraways,N,321726,N,N,
P-537152,Simply Bubble Gum Sauce,D-30/10/2014 12:44:45,,,,Simply Bubble Gum Sauce,"Simply Bubble Gum Sauce
simply sauce
toppings sauce
bubble gum sauce 
dessert topping
sauce",N,0.00,7.39,0.00,0,0.00,7,%,0.00,N,N,4999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,New To Garraways,N,321728,N,N,
P-537158,Simply Cherry Sauce,D-30/10/2014 13:02:12,,,,Simply Cherry Sauce,"Simply Cherry Sauce
Simply sauces
Cherry Sauce
sauce toppings
toppings sauce",N,0.00,7.39,0.00,0,0.00,7,%,0.00,N,N,4991,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,New To Garraways,N,321730,N,N,
P-456800,Simply Exotic Fruit Smoothie Mix,D-06/04/2009 08:05:31,5060181190693,Simply IBC,,Simply Fruit Smoothie Mix - Exotic Fruits Smoothie,"Simply smoothie mix
smoothies
simply
exotic fruit smoothie
fruit smoothies
Simply Exotic Fruit Smoothie Mix",N,0.00,54.00,0.00,0,0.00,54,Exact,0.00,Y,N,4999,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,321352,N,Y,"3=>52.50,5=>49.50,10=>45.00"
P-537149,Simply Luxury Chocolate Sauce,D-29/10/2014 16:33:04,,,,Simply Luxury Chocolate Sauce,"Simply Luxury Chocolate Sauce 
chocolate sauce
chocolate topping
sauces
sauce
toppings
topping",N,0.00,7.39,0.00,0,0.00,7,%,0.00,N,N,4999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,New To Garraways,N,321732,N,N,
P-490078,Simply Mango & Apple Smoothie Mix,D-15/03/2010 16:59:05,5060181190703,,,Simply Mango & Apple Smoothie Mix,"MANGO & APPLE SMOOTHIE
APPLE SMOOTHIE
MANGO SMOOTHIE
APPLE & MANGO MIX
SMOOTHIE MIX
Simply Mango & Apple Smoothie Mix
SIMPLY SMOOTHIES",Y,0.00,54.00,0.00,0,0.00,54,Exact,0.00,Y,N,26,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,319897,N,Y,"3=>52.50,5=>49.50,10=>45.00"
P-537157,Simply Mango & Passion Fruit Sauce,D-30/10/2014 13:00:12,,,,Simply Mango & Passion Fruit Sauce,"Simply Mango & Passion Fruit Sauce
Mango & Passion Fruit Sauce
fruit sauce
simply sauces
sauce
sauces
dessert toppings
dessert sauces",N,0.00,7.39,0.00,0,0.00,0,%,0.00,N,N,5000,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,New To Garraways,N,321734,N,N,
P-490255,Simply Pineapple & Passionfruit Smoothie Mix,D-20/04/2010 10:22:08,5060181190695,,,Simply Pineapple & Passionfruit Smoothie Mix,"simply smoothies
pineapple & passionfruit
passionfruit smoothies
smoothie mixes
smoothie",N,0.00,54.00,0.00,0,0.00,54,Exact,0.00,Y,N,499960,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,321354,N,Y,"3=>52.50,5=>49.50,10=>45.00"
P-537155,Simply Raspberry Sauce,D-30/10/2014 12:55:50,,,,Simply Raspberry Sauce,"Simply Raspberry Sauce
Raspberry Sauce
simply sauces
sauces 
sauce
sauce toppings
toppings sauce",N,0.00,7.39,0.00,0,0.00,7,%,0.00,N,N,4999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,New To Garraways,N,321733,N,N,
P-511570,Simply Raspberry Smoothie Mix,D-29/03/2011 15:06:23,5060181190591,Simply,,Simply Raspberry Smoothie Mix,"RASPBERRY SMOOTHIE
RASPBERRY
SMOOTHIE MIXES
SIMPLY SMOOTHIE
Simply Raspberry Smoothie Mix",Y,0.00,54.00,0.00,0,0.00,54,Exact,0.00,Y,N,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,,Y,N,,N,BRAND NEW FLAVOUR FOR 2011,N,277451,N,Y,"3=>52.50,5=>49.50,10=>45.00"
P-496231,Simply Ready To Drink Smoothies,D-07/02/2011 16:13:16,5060181190584,,,Simply Ready To Drink Smoothies,"SMOOTHIE MIX
SMOOTHIE FLAVOURS
SIMPLY SMOOTHIE
FRUIT SMOOTHIE
Simply Ready To Drink Smoothies
Ready To Drink Smoothies",Y,0.00,21.99,0.00,0,0.00,22,Exact,19.99,Y,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,,Y,N,,N,READY TO DRINK 100% FRUIT SMOOTHIES - NOW IN READY TO DRINK CARTONS WITH STRAWS.,N,273134,N,Y,"2=>19.75,5=>19.49,10=>18.99"
P-537153,Simply Strawberry and Rhubarb Sauce,D-30/10/2014 12:48:55,,,,Simply Strawberry and Rhubarb Sauce,"Simply Strawberry and Rhubarb Sauce
Strawberry and Rhubarb Sauce
Fruit flavoured sauce
dessert sauces
sauce
simply sauces",N,0.00,7.39,0.00,0,0.00,7,%,0.00,N,N,5000,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,New To Garraways,N,321727,N,N,
P-537150,Simply Toffee Caramel Sauce,D-29/10/2014 16:35:23,,,,Simply Toffee Caramel Sauce,"Simply Toffee Caramel Sauce
simply sauce
Toffee Caramel 
toffee sauce
sauce topping
caramel sauce 
sauces",N,0.00,7.39,0.00,0,0.00,7,%,0.00,N,N,4996,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,New To Garraways,N,321729,N,N,
P-537151,Simply White Chocolate Sauce,D-29/10/2014 16:37:35,,,,Simply White Chocolate Sauce,"Simply White Chocolate Sauce
white chocolate sauce
simply sauces
sauce
toppings
chocolate sauce
chocolate toppings
simply toppings",N,0.00,7.39,0.00,0,0.00,7,%,0.00,N,N,5000,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,New To Garraways,N,321731,N,N,
P-363450,Smoothie Mixed Case,D-06/04/2009 08:05:47,5060181190697,,,Smoothie Mixed Case,"Smoothie Mixed Case
mixed case
sweetbird mixed case
simply mixed case 
smoothie bumper pack",N,0.00,38.00,0.00,0,0.00,38,Exact,35.00,Y,N,2147481610,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,134699,N,N,
P-537011,Snowflake Stencil,D-13/10/2014 15:32:28,,,,Snowflake Stencil,"Snowflake Stencil
stencil
winter stencil
christmas stencil
festive stencils",N,0.00,3.49,0.00,0,0.00,3,%,0.00,Y,N,165,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,,N,321386,N,N,
P-537010,Snowman Stencil,D-13/10/2014 15:29:49,,,,Snowman Stencil,"Snowman Stencil
winter stencils
stencils
coffee stencils
festive singles",N,0.00,3.49,0.00,0,0.00,3,%,0.00,Y,N,177,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,,N,321381,N,N,
P-535822,Spacesaver Blender Summer Deal,D-30/06/2014 15:36:39,,Blendtec,Spacesaver Blender Summer Deal,Spacesaver Blender Summer Deal,"Spacesaver Blender 
blender
blendtec blenders
blendtec spacesaver blender
blendtec
Spacesaver Blender Summer Deal",N,0.00,795.99,0.00,0,0.00,796,%,0.00,Y,N,150,N,0,,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,256963,N,N,
